Role,Degree,Subject,Interests,UserId,Name
Industrial,Doctorate,Software Engineering,"""Networking""",2v9hambn4vcunurb4ap700rh,Hina Khan
Industrial,Masters,Software Engineering,"""Software Development"", ""Networking""",sq2xdqy31s2m79lhavv9oytg,Hassan Chaudhry
Student,Bachelors,Software Engineering,"""Data Science""",pieja8y7765gld7bz6anada3,Ahmed Hussain
Student,Doctorate,Software Engineering,"""Human Computer Interaction"", ""Artificial Intelligence"", ""Networking"", ""Data Science""",p6zx5g0r7ke6th2ikk33yzcs,Hassan Chaudhry
Industrial,Masters,Computer Science,"""Data Science"", ""Machine Learning"", ""Software Development""",xbz1untfjg99ryk8phq2w3nj,Sara Iqbal
Industrial,Doctorate,Data Science,"""Human Computer Interaction""",bbmiioyjqvrsxy5sej7ja6gs,Usman Butt
Faculty,Doctorate,Data Science,"""Networking"", ""Artificial Intelligence"", ""Human Computer Interaction""",yjbcpdq1dy595uf4pes6umbn,Zainab Javed
Faculty,Masters,Data Science,"""Human Computer Interaction""",0eyy81l88u1b6rtb0hh959ja,Omar Hussain
Industrial,Masters,Software Engineering,"""Human Computer Interaction"", ""Networking"", ""Machine Learning""",s5u0hb8ohoudxactspyab5sz,Sara Ahmed
Faculty,Masters,Data Science,"""Software Development"", ""Networking""",hmxeizafd89cw3qyef0sw65p,Sara Sheikh
Faculty,Masters,Data Science,"""Software Development"", ""Artificial Intelligence"", ""Human Computer Interaction"", ""Machine Learning""",g9s029h7ws3z5kxvcmw1aha4,Fatima Khan
Faculty,Doctorate,Computer Science,"""Machine Learning"", ""Software Development""",lesqa3eaer9k5o42bdcyihnz,Zainab Butt
Student,Bachelors,Data Science,"""Networking"", ""Software Development""",14eagwwldwb8f34mjd8dd7ju,Ali Raza
Industrial,Doctorate,Data Science,"""Human Computer Interaction""",844asnjca52ceyjdiae4zmln,Zainab Butt
Faculty,Masters,Computer Science,"""Machine Learning""",ryh0wy31vlvzpjiq4qad4nu5,Usman Iqbal
Student,Masters,Data Science,"""Artificial Intelligence"", ""Software Development""",1umgixdsbai6k6mmp0xg6mn4,Sara Javed
Industrial,Doctorate,Computer Science,"""Human Computer Interaction"", ""Software Development"", ""Data Science"", ""Artificial Intelligence""",hai4s0avwl407v5bu2vxeu9p,Zainab Malik
Student,Masters,Software Engineering,"""Artificial Intelligence"", ""Human Computer Interaction""",cjz9bs8ve9guj3l3ps1az1f0,Ahmed Butt
Faculty,Doctorate,Computer Science,"""Human Computer Interaction""",0b15ynviziogkqh7bmfi1q8r,Omar Javed
Industrial,Doctorate,Data Science,"""Software Development"", ""Machine Learning""",wjwpf48605lkiv71xzel8eqr,Sara Ahmed
Faculty,Doctorate,Software Engineering,"""Networking"", ""Software Development""",8qwn56snq351l3o7ai7i9hu8,Ali Butt
Industrial,Masters,Computer Science,"""Software Development""",isaxh7a3u4oaoxvx267q9hqt,Hassan Malik
Faculty,Masters,Software Engineering,"""Data Science""",q1ucl3uuojwpbzwvj20w0292,Ahmed Hussain
Student,Doctorate,Software Engineering,"""Data Science"", ""Networking"", ""Machine Learning""",2ucwywdznwbyqja22tt9tdl7,Ahmed Khan
Student,Doctorate,Software Engineering,"""Artificial Intelligence"", ""Human Computer Interaction"", ""Networking"", ""Machine Learning""",b9ldv7wtcu03w3yet3hwxhca,Hina Iqbal
Industrial,Doctorate,Computer Science,"""Artificial Intelligence"", ""Human Computer Interaction"", ""Data Science""",6fq1pl3rpuj78m6h5anja62h,Hina Sheikh
Student,Doctorate,Software Engineering,"""Networking""",9xfp464oyc5t9j0equ7uzylz,Hassan Butt
Industrial,Doctorate,Software Engineering,"""Software Development"", ""Networking"", ""Artificial Intelligence""",78nfi69dnmnlhct9jiu4eomn,Fatima Javed
Faculty,Masters,Software Engineering,"""Data Science""",0exkj1ov1320nka0fpa7vjav,Hassan Javed
Industrial,Masters,Software Engineering,"""Networking"", ""Human Computer Interaction""",d4c0k6hwma39xiz38w4id7yn,Hassan Khan
Student,Doctorate,Software Engineering,"""Data Science"", ""Networking"", ""Artificial Intelligence""",x05t3b0fvdqk2wzk7glwzhal,Omar Raza
Faculty,Masters,Data Science,"""Machine Learning"", ""Artificial Intelligence""",l4hkmk5senh6h0iv4mcz489q,Sara Khan
Faculty,Doctorate,Software Engineering,"""Human Computer Interaction"", ""Machine Learning""",ylawix0azemg1lruna1id1v5,Hina Hussain
Faculty,Masters,Data Science,"""Data Science""",48bj0jwjgplll812yofvo1g8,Usman Malik
Faculty,Masters,Software Engineering,"""Software Development""",jjftd6srzaopp6pxrgr1v8l0,Sara Ahmed
Faculty,Masters,Data Science,"""Machine Learning"", ""Networking"", ""Human Computer Interaction""",fowclz915c38ua05bbdiso18,Hina Butt
Faculty,Masters,Data Science,"""Networking"", ""Machine Learning""",h6q157yzf1ldasb5it9rq8r7,Ayesha Ahmed
Student,Masters,Software Engineering,"""Data Science"", ""Networking""",st3ojeitxkucxws53skfzghj,Ali Sheikh
Industrial,Doctorate,Data Science,"""Data Science"", ""Artificial Intelligence""",93jltn7zqq5ndl5knzyefsn0,Zainab Raza
Faculty,Masters,Computer Science,"""Networking""",2yhtcfclxlvviw3i5klr4pcj,Hassan Chaudhry
Faculty,Doctorate,Computer Science,"""Artificial Intelligence""",uyhdn97s3y0jm4qoocgsabro,Ali Sheikh
Student,Doctorate,Data Science,"""Human Computer Interaction"", ""Networking"", ""Data Science""",1v6fg1gm112adjgdpu5atpvh,Omar Ahmed
Student,Bachelors,Data Science,"""Artificial Intelligence"", ""Networking"", ""Software Development"", ""Machine Learning""",oqwj2mj019gpiht50ihnfvuh,Sara Khan
Industrial,Bachelors,Computer Science,"""Software Development""",570hj8w5pb5kv38qc2wwircg,Usman Ahmed
Industrial,Doctorate,Software Engineering,"""Artificial Intelligence"", ""Networking"", ""Human Computer Interaction"", ""Machine Learning""",zslkkqlhf494g86u6mscj19z,Hina Iqbal
Faculty,Doctorate,Data Science,"""Artificial Intelligence""",45awdvph3dx9vpmvcz83dumz,Ahmed Ahmed
Faculty,Doctorate,Computer Science,"""Human Computer Interaction"", ""Data Science""",ho80i68hazvwdxsqc5c1m9yn,Ayesha Butt
Student,Doctorate,Computer Science,"""Artificial Intelligence"", ""Human Computer Interaction"", ""Software Development""",ujey8hklk67xnuu5q9jioz27,Ahmed Khan
Student,Doctorate,Software Engineering,"""Machine Learning"", ""Artificial Intelligence""",wf45bcqbxapa4rziqmq9a0sg,Ali Javed
Faculty,Masters,Software Engineering,"""Artificial Intelligence"", ""Data Science"", ""Human Computer Interaction""",q0vxeh7zx2d82z26nw09imq8,Sara Javed
Faculty,Masters,Computer Science,"""Human Computer Interaction""",kf8ha9sligcy5t8bec9ml7l0,Ali Khan
Industrial,Bachelors,Software Engineering,"""Data Science"", ""Networking"", ""Software Development""",t4mu6a4b3iwt27fcqqywe7pi,Hina Hussain
Industrial,Masters,Data Science,"""Data Science""",cbtdpal4sxtraue3e0pnmkrc,Ali Malik
Faculty,Masters,Data Science,"""Data Science""",2a3am4myrzriq20y185q34mk,Ahmed Malik
Faculty,Masters,Computer Science,"""Machine Learning"", ""Networking""",socz2g3z4imop9uocnqmi67t,Ayesha Iqbal
Student,Masters,Software Engineering,"""Artificial Intelligence"", ""Data Science""",g4nfegfzq1z9t9ui45m04bl9,Sara Malik
Student,Doctorate,Software Engineering,"""Machine Learning""",8uumafczoy7jzfz5rqhk28na,Ali Hussain
Industrial,Doctorate,Software Engineering,"""Data Science""",u070nqxip230th722a3azcql,Zainab Raza
Industrial,Masters,Software Engineering,"""Human Computer Interaction"", ""Software Development"", ""Machine Learning"", ""Data Science""",mpcucmko99nllx6klzppglh0,Ayesha Sheikh
Student,Doctorate,Computer Science,"""Machine Learning"", ""Data Science"", ""Artificial Intelligence"", ""Software Development""",n609xa7sta4xhvj57nzjl3aa,Usman Sheikh
Industrial,Doctorate,Data Science,"""Machine Learning""",ushft6s15f1fido8pzk11tfz,Zainab Hussain
Student,Doctorate,Computer Science,"""Networking""",xekdooc0546479d9mw4tqn3r,Hassan Sheikh
Industrial,Doctorate,Data Science,"""Software Development""",xcy5ctm5irbj303x5nn5xg4e,Usman Javed
Student,Doctorate,Software Engineering,"""Networking"", ""Data Science""",kg2dwa2qw0bqvnyi98ia4o0n,Ahmed Iqbal
Student,Bachelors,Software Engineering,"""Data Science"", ""Networking""",jetkhtppy515t8kl80uzhml3,Ahmed Malik
Faculty,Doctorate,Software Engineering,"""Artificial Intelligence""",ebr1ojscqvrwk5251pewaavu,Usman Hussain
Industrial,Doctorate,Data Science,"""Software Development"", ""Machine Learning"", ""Networking"", ""Artificial Intelligence""",itq23bofi2wza5z1blv709mh,Ayesha Hussain
Industrial,Doctorate,Data Science,"""Software Development""",48s0y0ratj7kc8wm6qojtgrr,Usman Hussain
Industrial,Masters,Data Science,"""Artificial Intelligence"", ""Data Science"", ""Networking"", ""Machine Learning""",60yf7qcs9txuimjl3cisrcv5,Omar Raza
Faculty,Masters,Computer Science,"""Artificial Intelligence"", ""Networking""",313a9hrkmx1bcid4twnoupum,Hina Butt
Student,Bachelors,Software Engineering,"""Software Development""",75pel3xccwde2s4xl7lrg37b,Hina Malik
Student,Doctorate,Software Engineering,"""Networking""",80ufyt2b9m4oh4xog1smmicv,Zainab Chaudhry
Industrial,Masters,Software Engineering,"""Machine Learning"", ""Software Development""",8sp5l39rlwmd5fha2fu1hj7e,Ali Iqbal
Student,Bachelors,Computer Science,"""Data Science"", ""Software Development"", ""Networking"", ""Artificial Intelligence""",7rila9v96a394jztt2n9nusk,Sara Iqbal
Student,Bachelors,Data Science,"""Artificial Intelligence"", ""Data Science"", ""Networking"", ""Machine Learning""",j4z8tw7uvpxecndxpt97eefk,Usman Chaudhry
Student,Doctorate,Computer Science,"""Human Computer Interaction"", ""Artificial Intelligence""",xjoxh336t67zgldwnjk3vwdf,Omar Hussain
Industrial,Bachelors,Software Engineering,"""Networking"", ""Human Computer Interaction""",7h6bqzt8avv2d78vt662di83,Fatima Butt
Industrial,Bachelors,Computer Science,"""Data Science"", ""Software Development""",jddu4jagrx7p0k2retrukkh4,Ayesha Javed
Student,Bachelors,Data Science,"""Human Computer Interaction"", ""Networking""",i3p3s6ctc6cjm1k447e5ubqb,Usman Raza
Student,Doctorate,Data Science,"""Software Development"", ""Machine Learning"", ""Networking""",9lbomjyvt6atqj03t5mquvzb,Sara Javed
Industrial,Doctorate,Software Engineering,"""Human Computer Interaction"", ""Data Science""",xe8k0y1gtu5ptykblivnvwtq,Ayesha Ahmed
Student,Doctorate,Software Engineering,"""Machine Learning"", ""Human Computer Interaction"", ""Networking"", ""Data Science""",3ywez3uhm9rduw8ymy8g5w9d,Sara Malik
Student,Masters,Software Engineering,"""Artificial Intelligence""",o3jbekmmeiqgfdpb35or727t,Fatima Malik
Student,Doctorate,Software Engineering,"""Data Science"", ""Human Computer Interaction""",tx31tkcugim60qn8wro3fopk,Ahmed Chaudhry
Industrial,Bachelors,Computer Science,"""Software Development"", ""Machine Learning"", ""Networking"", ""Data Science""",hoxi10m87ark8jtiewuczmdc,Hina Malik
Faculty,Masters,Data Science,"""Data Science""",nnlrwg93tavw3bm65l6ql8oe,Ahmed Iqbal
Student,Bachelors,Data Science,"""Software Development""",gjy2i4hh1xi4jdturenuzmhc,Ali Iqbal
Industrial,Masters,Computer Science,"""Data Science"", ""Human Computer Interaction""",8kfr5gwyzffeurlad6f54dl3,Sara Hussain
Faculty,Masters,Software Engineering,"""Networking""",ap3kdfchbsh45guomolvbcoa,Usman Chaudhry
Student,Bachelors,Software Engineering,"""Data Science""",eegfegk8v3tnvdsf0d3ino1x,Fatima Sheikh
Industrial,Doctorate,Software Engineering,"""Data Science"", ""Networking""",tjg8atucf97kyyhwm6iblj0j,Ali Hussain
Student,Masters,Software Engineering,"""Human Computer Interaction""",18bav77l7oje6ta8jzmnscv5,Hassan Javed
Student,Bachelors,Computer Science,"""Data Science""",93wbjwwfonzh7lzrlcnzgl88,Sara Malik
Student,Doctorate,Computer Science,"""Networking"", ""Human Computer Interaction""",l6hig0tba6r72bgtvjy5wz3m,Hina Malik
Student,Doctorate,Data Science,"""Human Computer Interaction"", ""Artificial Intelligence""",amo5t3ekujflfrofffusmn0l,Hina Malik
Student,Doctorate,Computer Science,"""Networking"", ""Artificial Intelligence""",m9axk0m23hzu9vy838w7hmot,Usman Butt
Industrial,Doctorate,Computer Science,"""Machine Learning""",a3vbg6xegttbi1wbz63ksfuh,Fatima Iqbal
Student,Doctorate,Data Science,"""Software Development""",jznu3ba9wr2pjxikpfy5a1c2,Zainab Javed
Industrial,Doctorate,Data Science,"""Machine Learning"", ""Software Development"", ""Networking"", ""Data Science""",n7nk8trqy3cdx47ttn8yr83v,Ayesha Hussain
Faculty,Doctorate,Software Engineering,"""Software Development""",3109j0d91rrcje2w7jv1wwn9,Hina Hussain
Faculty,Masters,Data Science,"""Human Computer Interaction""",bw11rndvqx5jvw5jl3z36l13,Sara Raza
Faculty,Masters,Data Science,"""Machine Learning"", ""Data Science""",z2cikp0xdi5zpwvhfvjrcwgf,Usman Ahmed
Industrial,Doctorate,Software Engineering,"""Artificial Intelligence"", ""Networking"", ""Data Science""",fyf4y7y0oomi28l23m239wk8,Fatima Khan
Student,Doctorate,Data Science,"""Machine Learning"", ""Artificial Intelligence""",q4qr213xvgtza74lok0tin1s,Ahmed Malik
Student,Bachelors,Data Science,"""Networking""",bow2gy7hslterfzwelskz4z4,Fatima Raza
Student,Bachelors,Computer Science,"""Human Computer Interaction""",1yf2b97plnn1oy0hj8v0uwmu,Hassan Khan
Faculty,Masters,Computer Science,"""Machine Learning"", ""Software Development""",lc3cf7ktuap2o7h4ksvxysvp,Ali Sheikh
Faculty,Masters,Computer Science,"""Networking"", ""Machine Learning""",n68plelvbjc6p5rqx5bgv8gz,Ahmed Iqbal
Student,Masters,Data Science,"""Artificial Intelligence""",pw23v9yauoliamrsn3tnfr9h,Fatima Malik
Industrial,Bachelors,Computer Science,"""Data Science"", ""Software Development""",9t2toa56og6rijn87e2lr84t,Ayesha Chaudhry
Student,Doctorate,Software Engineering,"""Networking""",yr0lq8t8lg2lctbztjpznzr1,Ayesha Sheikh
Student,Doctorate,Data Science,"""Networking"", ""Artificial Intelligence""",uheetfnus50xr7qithf9lum0,Hina Javed
Industrial,Bachelors,Software Engineering,"""Machine Learning"", ""Data Science""",okztg19zq7mt4758qstt2dsb,Zainab Chaudhry
Faculty,Masters,Software Engineering,"""Software Development"", ""Data Science"", ""Networking""",vy42b7zb1pz9e672msobaj0j,Ahmed Sheikh
Student,Masters,Software Engineering,"""Artificial Intelligence""",vlitxft2sipxil801c82qykd,Hina Chaudhry
Industrial,Doctorate,Data Science,"""Machine Learning"", ""Artificial Intelligence"", ""Human Computer Interaction""",6jdbisiltpsop7q6mratea37,Ayesha Butt
Student,Doctorate,Software Engineering,"""Human Computer Interaction"", ""Software Development"", ""Machine Learning"", ""Networking""",co4fpna7zwhtf44jrrvwjfto,Ayesha Javed
Student,Bachelors,Computer Science,"""Networking"", ""Machine Learning""",rvyvobjf1dtxkhxe7ijavbk2,Ahmed Chaudhry
Faculty,Masters,Computer Science,"""Networking"", ""Software Development""",bv53bwctvr1wtqieajx96oi5,Sara Chaudhry
Faculty,Masters,Data Science,"""Artificial Intelligence"", ""Software Development"", ""Data Science"", ""Human Computer Interaction""",ymog60xrq564n3qkrx8nu1y0,Fatima Malik
Industrial,Doctorate,Software Engineering,"""Human Computer Interaction"", ""Artificial Intelligence"", ""Data Science"", ""Networking""",002jafpnozu2x3tn8pdhccnf,Omar Malik
Industrial,Masters,Data Science,"""Human Computer Interaction""",7c72y5q6u7etu2q0bxfcbni5,Hina Raza
Student,Masters,Computer Science,"""Human Computer Interaction"", ""Networking"", ""Software Development"", ""Machine Learning""",ebj32xsb2u4lk5ygq8ytrs80,Hina Javed
Faculty,Masters,Computer Science,"""Data Science"", ""Networking""",540nj1omxvtmsw1yxwgn5z7p,Ali Chaudhry
Faculty,Masters,Computer Science,"""Artificial Intelligence"", ""Networking"", ""Machine Learning"", ""Data Science""",yh9f6ucgazsjyy0haa60g064,Ahmed Hussain
Student,Masters,Data Science,"""Artificial Intelligence"", ""Software Development"", ""Data Science""",niylj40eixc98pvcw7gjc4ur,Omar Chaudhry
Student,Doctorate,Data Science,"""Artificial Intelligence"", ""Data Science"", ""Machine Learning""",tq5dgix0uqy6kbvzouzeo404,Hina Chaudhry
Student,Doctorate,Data Science,"""Networking"", ""Human Computer Interaction""",ur4xzfxwvyur16u38jc136hd,Zainab Iqbal
Student,Bachelors,Data Science,"""Data Science""",ag7vqf4llol5d3lwqmiqa184,Hassan Iqbal
Faculty,Masters,Computer Science,"""Software Development"", ""Data Science""",g6dc061x9d8fiek1w99sounu,Sara Iqbal
Industrial,Doctorate,Data Science,"""Human Computer Interaction"", ""Networking"", ""Data Science"", ""Machine Learning""",pds1h51md6s97b80e38wryxv,Usman Khan
Student,Masters,Computer Science,"""Software Development"", ""Networking""",zexqfgkztfdi54vbf0ttt9s4,Sara Hussain
Student,Bachelors,Computer Science,"""Artificial Intelligence"", ""Software Development""",3m64ugbeliwex5nap6fiwxwe,Sara Chaudhry
Industrial,Bachelors,Data Science,"""Artificial Intelligence"", ""Data Science""",8i5z4yh5yxyu4kw8acco5vz4,Zainab Sheikh
Faculty,Masters,Software Engineering,"""Data Science"", ""Networking""",84rw52sdxtdn8l8iay58ogf5,Ali Sheikh
Industrial,Doctorate,Data Science,"""Software Development""",t80q8eqw17lkgmsyphro9tbq,Zainab Hussain
Faculty,Masters,Software Engineering,"""Artificial Intelligence""",vkfwxu77jicppu1b4vjlmnpo,Omar Javed
Student,Doctorate,Data Science,"""Human Computer Interaction"", ""Software Development"", ""Data Science"", ""Artificial Intelligence""",5cbgc3h5p4qrlmvzww0vvrev,Hassan Khan
Industrial,Bachelors,Computer Science,"""Software Development""",xvmvveyxey4jn6vaupf1e81n,Sara Ahmed
Student,Bachelors,Software Engineering,"""Human Computer Interaction""",5amr1spf876n9eqmg2btvmwg,Ahmed Malik
Faculty,Masters,Data Science,"""Networking"", ""Data Science"", ""Artificial Intelligence""",fipvlxgh83zwk8gievi3ir2j,Zainab Javed
Industrial,Doctorate,Software Engineering,"""Data Science"", ""Human Computer Interaction""",0px3hy7z0swuiute4eqk165j,Ali Khan
Student,Doctorate,Software Engineering,"""Human Computer Interaction"", ""Artificial Intelligence""",8643pmwccd187y29u3fhnsgr,Hassan Iqbal
Student,Doctorate,Computer Science,"""Machine Learning"", ""Artificial Intelligence""",3mf5u1ro5d3xymfm00u13q9o,Hina Khan
Faculty,Masters,Software Engineering,"""Data Science"", ""Human Computer Interaction"", ""Networking"", ""Artificial Intelligence""",yhob3qgleby1kseb2g8jmud4,Fatima Malik
Faculty,Masters,Software Engineering,"""Artificial Intelligence"", ""Software Development""",tmk9d44pelvofcs5eo8j7dg5,Omar Javed
Student,Masters,Software Engineering,"""Software Development"", ""Machine Learning""",zbr5viweulaz7br4bqsx8403,Ahmed Iqbal
Student,Bachelors,Data Science,"""Human Computer Interaction"", ""Networking"", ""Software Development"", ""Artificial Intelligence""",yom2ilk7dw9bhw4p4mpbsrbo,Ahmed Sheikh
Industrial,Bachelors,Software Engineering,"""Artificial Intelligence"", ""Data Science""",inv5016z9yk0bye47b4xham2,Hina Iqbal
Student,Bachelors,Data Science,"""Data Science"", ""Artificial Intelligence""",q6dmakautb3o2cqz78a1na12,Ayesha Raza
Faculty,Masters,Data Science,"""Machine Learning"", ""Data Science""",g4w0bvazkak8nr6327300uwd,Ali Butt
Faculty,Masters,Data Science,"""Human Computer Interaction"", ""Data Science""",tmna6gtynr2c0skzf5g0zq17,Hina Butt
Industrial,Doctorate,Computer Science,"""Data Science""",phcytsf6m1p3v2e964sryaxf,Fatima Khan
Faculty,Masters,Computer Science,"""Networking"", ""Data Science""",shyrjzwenrbh2phhf5x0ki12,Ahmed Khan
Industrial,Bachelors,Data Science,"""Artificial Intelligence"", ""Machine Learning""",nhyu6mtj7tiyshbx8041id14,Zainab Iqbal
Student,Masters,Software Engineering,"""Software Development"", ""Data Science""",c7cn2d5e9dw69er2llcczmgx,Omar Javed
Student,Masters,Computer Science,"""Human Computer Interaction"", ""Artificial Intelligence"", ""Networking""",ai7e1g9doa0mlodid2750pcx,Ali Iqbal
Faculty,Doctorate,Data Science,"""Data Science"", ""Human Computer Interaction""",99zbrkyj7hyhqg6jxnfwnnjb,Sara Javed
Faculty,Masters,Data Science,"""Software Development""",l5gtco21cc04pn9rnz5x5l3w,Hassan Iqbal
Student,Doctorate,Software Engineering,"""Data Science""",s70aporjc2hog8afb6p4lw2f,Usman Javed
Faculty,Masters,Computer Science,"""Human Computer Interaction"", ""Artificial Intelligence""",mi5z5s2m5ulrtpr7iajsyita,Ali Sheikh
Faculty,Masters,Computer Science,"""Software Development""",s74lw01z3p4bnz0rkzet18go,Fatima Hussain
Industrial,Bachelors,Software Engineering,"""Data Science""",zgfg3featze3c7vgim5yl4aq,Ayesha Khan
Industrial,Doctorate,Computer Science,"""Networking"", ""Human Computer Interaction""",w0ayg9z79qxnsooq1mjt1hnv,Hina Sheikh
Student,Doctorate,Data Science,"""Data Science"", ""Networking""",behwjh0gdd41gomh4yvbq11j,Hassan Malik
Faculty,Doctorate,Data Science,"""Networking"", ""Data Science"", ""Software Development"", ""Machine Learning""",x22uv1hu6ohlto6fdbf7wxy2,Hina Khan
Student,Bachelors,Computer Science,"""Software Development""",xyrxwi2bc1a34978lh3fonsh,Omar Khan
Student,Doctorate,Data Science,"""Artificial Intelligence""",y3u5v6gug1muj785do7uya3f,Ahmed Javed
Industrial,Doctorate,Data Science,"""Artificial Intelligence""",ye2h0lyim7kn0xmodur8o3df,Fatima Malik
Industrial,Doctorate,Software Engineering,"""Artificial Intelligence"", ""Software Development"", ""Networking""",zkqeqqlmpw7sbbcxxd3ncm5z,Ayesha Sheikh
Industrial,Bachelors,Computer Science,"""Data Science""",hcym35p4u60moc7uvel7gkhd,Ayesha Chaudhry
Faculty,Masters,Data Science,"""Machine Learning""",e25x7wez570t59973r95kywj,Usman Chaudhry
Student,Masters,Computer Science,"""Artificial Intelligence"", ""Human Computer Interaction"", ""Software Development"", ""Data Science""",4otuakcsksov0fb330dy6rg6,Ahmed Hussain
Student,Masters,Data Science,"""Machine Learning"", ""Human Computer Interaction"", ""Data Science"", ""Artificial Intelligence""",neslw5xwwp8uhu2gfx9iteq5,Hassan Iqbal
Faculty,Masters,Data Science,"""Software Development""",j59gnmhex7m6bu5lp7yc5ovz,Ali Iqbal
Industrial,Doctorate,Computer Science,"""Networking""",vtfeyh7ajh7eoh404xjqqa43,Ali Malik
Faculty,Masters,Software Engineering,"""Software Development""",fxui7184wfx69oef6bhbrqxv,Ali Sheikh
Industrial,Masters,Computer Science,"""Artificial Intelligence""",6r5bp8ys4q9eak44h0epip6g,Hassan Sheikh
Industrial,Doctorate,Data Science,"""Machine Learning"", ""Data Science""",fdcv4057747ldneskndsva49,Usman Iqbal
Faculty,Masters,Data Science,"""Data Science"", ""Software Development"", ""Networking"", ""Machine Learning""",b27aohtom8nquo9c6etgrl4l,Hina Sheikh
Industrial,Bachelors,Computer Science,"""Data Science"", ""Human Computer Interaction"", ""Artificial Intelligence""",i0xte19uv37mgjyjsdvqxky1,Sara Hussain
Industrial,Masters,Computer Science,"""Software Development"", ""Machine Learning""",qhdkrziwpb9ix7tx5wys2p0a,Ayesha Hussain
Industrial,Doctorate,Software Engineering,"""Data Science"", ""Human Computer Interaction""",w0cfmb7e8770jalft7t7d9jb,Omar Butt
Faculty,Masters,Computer Science,"""Data Science""",3gfn6z5blfbo0py11o6y90mk,Ayesha Ahmed
Student,Doctorate,Data Science,"""Human Computer Interaction"", ""Data Science"", ""Machine Learning""",nwainpfwrgvvomo7vztt8297,Ali Butt
Student,Doctorate,Data Science,"""Artificial Intelligence"", ""Human Computer Interaction"", ""Data Science""",p362jzebg293ffi9lmg4zl0q,Usman Chaudhry
Faculty,Doctorate,Software Engineering,"""Artificial Intelligence""",6vdiwrs1u2dthiuc2fi1cu8g,Usman Javed
Industrial,Bachelors,Data Science,"""Artificial Intelligence""",ol0dc6zm2ucj0yg2wfmikktt,Ayesha Butt
Faculty,Doctorate,Computer Science,"""Software Development"", ""Artificial Intelligence"", ""Human Computer Interaction"", ""Data Science""",wekumms3dfire100kl0ofqwl,Hassan Butt
Faculty,Masters,Software Engineering,"""Data Science""",wer1m5c4w762y7ulxkva17gm,Fatima Iqbal
Student,Doctorate,Computer Science,"""Artificial Intelligence"", ""Machine Learning"", ""Networking"", ""Data Science""",04bdiz35kzcitinfl5by90aq,Zainab Khan
Student,Bachelors,Software Engineering,"""Networking"", ""Human Computer Interaction""",0o4xoyt82uwptn27nxi1wik7,Usman Sheikh
Industrial,Doctorate,Data Science,"""Human Computer Interaction"", ""Machine Learning""",fyc87ckmpzs7pw0692m6vzix,Ahmed Ahmed
Student,Masters,Software Engineering,"""Human Computer Interaction"", ""Networking""",qhl4qrhkbarpo1j5qfpzz9s0,Ayesha Sheikh
Student,Doctorate,Data Science,"""Networking"", ""Artificial Intelligence"", ""Machine Learning""",ojtmqbsngbm4g4cn07bsa51i,Omar Raza
Industrial,Masters,Data Science,"""Networking""",d5bogyteo1zpj8ax3a8tdkxd,Fatima Iqbal
Student,Bachelors,Computer Science,"""Artificial Intelligence"", ""Machine Learning""",wuj65dvnhzd3g24h48go048o,Ahmed Sheikh
Faculty,Masters,Computer Science,"""Software Development""",422vkrunam3e4lsudpxbrvro,Omar Hussain
Industrial,Doctorate,Computer Science,"""Networking"", ""Machine Learning""",y83dhwtjrnpscx8xovydetha,Hina Khan
Faculty,Doctorate,Computer Science,"""Software Development""",cy7dcj6p2kvfojbx9lbbxhgi,Ayesha Chaudhry
Faculty,Masters,Computer Science,"""Artificial Intelligence"", ""Human Computer Interaction""",0ys815su6su0wenvyt50syes,Sara Raza
Industrial,Bachelors,Software Engineering,"""Networking"", ""Artificial Intelligence""",3f909c2d9ubu5eli2mb7r2b2,Fatima Butt
Industrial,Masters,Software Engineering,"""Human Computer Interaction"", ""Data Science""",ekqa0icofkvmzdgmpq47tnx8,Ayesha Hussain
Student,Bachelors,Data Science,"""Machine Learning""",o1igiyv71s8jw6k58b2wgpk5,Ayesha Ahmed
Student,Doctorate,Software Engineering,"""Data Science"", ""Software Development""",id3eam4w3lmz486n8y6hfdzz,Hassan Chaudhry
Student,Doctorate,Software Engineering,"""Artificial Intelligence""",i4w61pabydmkrqdt0aiknff2,Ayesha Iqbal
Industrial,Doctorate,Computer Science,"""Software Development"", ""Machine Learning""",468giv6e017t94okqucyu6i2,Fatima Chaudhry
Faculty,Masters,Computer Science,"""Human Computer Interaction"", ""Software Development"", ""Networking""",h6s6dk3cgwjfy0sgn7rsbrx8,Hassan Ahmed
Student,Doctorate,Software Engineering,"""Artificial Intelligence"", ""Networking""",nek7rthrl70bodouimxhl2ut,Ayesha Malik
Student,Doctorate,Data Science,"""Artificial Intelligence""",nre3wvheslc6da3uvfm1kjhc,Ahmed Ahmed
Student,Masters,Data Science,"""Software Development""",qifhwicf3kkqacawdz5hguoh,Hina Sheikh
Industrial,Doctorate,Computer Science,"""Human Computer Interaction"", ""Networking"", ""Machine Learning"", ""Software Development""",54iz10g1dkavosoby4k93g29,Ali Sheikh
Student,Doctorate,Software Engineering,"""Artificial Intelligence""",gseu7zecas8poy1oc8pvvtq6,Sara Sheikh
Industrial,Doctorate,Computer Science,"""Artificial Intelligence""",g1jtoum61ayux18t89su7665,Hina Iqbal
Industrial,Bachelors,Computer Science,"""Artificial Intelligence"", ""Networking""",zcabifm97qdv04owprvv2pnb,Usman Sheikh
